107,176,292,116,69,38,962,110,110,160,270,2
75,135,225,90,60,29,1148,90,80,130,210,2
122,195,325,130,73,42,1134,130,110,180,290,2
105,174,289,115,69,37,1166,110,100,160,260,2
104,135,223,90,56,29,1148,90,80,130,210,2
104,135,223,90,56,29,1139,90,80,130,210,2
135,155,275,103,64,33,1130,110,90,150,240,2
171,188,334,125,73,41,1119,130,100,160,260,2
181,195,346,130,73,42,1134,130,110,180,290,2
15,31,51,20,16,5,804,20,20,30,50,13
33,54,90,36,21,10,809,40,30,60,90,13
17,28,47,19,15,5,811,20,20,30,50,13
27,36,64,24,18,6,806,40,20,40,60,13
49,54,96,36,21,10,809,40,30,60,90,13
-2,75,128,53,77,48,597,10,50,70,120,5
1,84,144,60,83,54,606,40,40,90,130,5
2,86,147,61,84,55,613,10,60,80,140,5
11,105,201,75,103,68,522,20,70,100,170,5
4,90,165,65,87,58,513,20,60,90,150,5
0,87,160,63,87,57,506,10,60,80,140,5
0,87,160,63,87,57,521,10,60,80,140,5
4,90,153,64,81,58,551,20,60,90,150,5
3,87,159,62,85,56,612,20,50,90,140,5
-3,76,140,55,78,49,627,10,50,70,120,5
29,75,130,55,46,18,305,40,50,70,120,6
22,65,113,48,43,15,334,40,40,70,110,6
16,57,100,43,41,14,388,20,40,50,90,6
16,56,98,42,40,13,384,20,40,50,90,6
47,75,145,55,47,18,312,40,50,70,120,6
39,71,132,53,45,17,299,40,50,70,120,6
22,56,97,42,37,13,384,20,40,50,90,6
31,64,118,47,43,15,375,50,30,60,90,6
39,71,132,53,45,17,380,40,50,70,120,6
31,65,121,49,44,16,392,40,40,70,110,6
39,104,189,85,65,32,476,40,60,80,140,9
32,93,169,76,61,28,580,40,50,80,130,9
50,98,190,80,64,30,494,30,60,70,130,9
36,83,160,67,59,25,599,20,50,60,110,9
50,98,189,79,64,30,593,30,40,50,90,9
46,89,163,74,43,22,949,50,50,70,120,10
68,90,176,75,44,23,956,50,50,70,120,10
52,80,147,68,39,21,998,40,50,60,110,10
49,74,145,62,41,19,1059,40,40,60,100,10
52,77,151,65,42,20,1053,50,30,50,80,10
53,76,148,63,40,19,1075,40,40,60,100,10
43,68,115,47,25,13,821,60,40,80,120,11
